api_version,kind,status,name,name_hash,signature,source_owner,compatibility
88.3,Function,+,LL_LPTIM_Init,0xd052f035,"ErrorStatus LL_LPTIM_Init(LPTIM_TypeDef*, const LL_LPTIM_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_lptim.h,supported
88.3,Function,-,LL_LPTIM_StructInit,0x3c80483a,void LL_LPTIM_StructInit(LL_LPTIM_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_lptim.h,disabled
88.3,Function,-,LL_LPUART_DeInit,0x0a96b570,ErrorStatus LL_LPUART_DeInit(const USART_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_lpuart.h,disabled
88.3,Function,+,LL_LPUART_Init,0x55d31707,"ErrorStatus LL_LPUART_Init(USART_TypeDef*, const LL_LPUART_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_lpuart.h,supported
88.3,Function,-,LL_LPUART_StructInit,0x2c4ac48c,void LL_LPUART_StructInit(LL_LPUART_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_lpuart.h,disabled
88.3,Function,-,LL_PKA_DeInit,0x9a1b90f4,ErrorStatus LL_PKA_DeInit(PKA_TypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_pka.h,disabled
88.3,Function,-,LL_PKA_Init,0xf0a3418b,"ErrorStatus LL_PKA_Init(PKA_TypeDef*, LL_PKA_InitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_pka.h,disabled
88.3,Function,-,LL_PKA_StructInit,0x6219c210,void LL_PKA_StructInit(LL_PKA_InitTypeDef*),lib/stm32wb_hal/Inc/stm32wbxx_ll_pka.h,disabled
88.3,Function,-,LL_PLL_ConfigSystemClock_HSE,0x07ab4b69,"ErrorStatus LL_PLL_ConfigSystemClock_HSE(uint32_t, LL_UTILS_PLLInitTypeDef*, LL_UTILS_ClkInitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_utils.h,disabled
88.3,Function,-,LL_PLL_ConfigSystemClock_HSI,0x07ab4b6d,"ErrorStatus LL_PLL_ConfigSystemClock_HSI(LL_UTILS_PLLInitTypeDef*, LL_UTILS_ClkInitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_utils.h,disabled
88.3,Function,-,LL_PLL_ConfigSystemClock_MSI,0x07ab60b2,"ErrorStatus LL_PLL_ConfigSystemClock_MSI(LL_UTILS_PLLInitTypeDef*, LL_UTILS_ClkInitTypeDef*)",lib/stm32wb_hal/Inc/stm32wbxx_ll_utils.h,disabled
88.3,Function,-,LL_PWR_DeInit,0xc04ffff1,ErrorStatus LL_PWR_DeInit(),lib/stm32wb_hal/Inc/stm32wbxx_ll_pwr.h,disabled
88.3,Function,-,LL_RCC_DeInit,0xd6d0d4f0,ErrorStatus LL_RCC_DeInit(),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,disabled
88.3,Function,-,LL_RCC_GetADCClockFreq,0x19ffe415,uint32_t LL_RCC_GetADCClockFreq(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,disabled
88.3,Function,-,LL_RCC_GetCLK48ClockFreq,0x2ff4d193,uint32_t LL_RCC_GetCLK48ClockFreq(uint32_t),lib/stm32wb_hal/Inc/stm32wbxx_ll_rcc.h,disabled
